trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.5328197886965,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-139.1506389241004,"{0: 15, 1: 4, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,17,-48.06337025277415,"{0: 8, 1: 2, 2: 1, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-80.62507104438015,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-255.98137679318404,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-104.83901698854801,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-211.77154978407822,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,12,-38.63288323999683,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-125.15611681090718,"{0: 15, 1: 7, 2: 5, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-111.2513713947525,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-83.18201083479494,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-128.77319734970004,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-70.9376873344179,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,2,-88.18610914073528,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,14,-28.188089789842145,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-149.41411383480516,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-61.74985131396329,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-150.0117546201567,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-113.5548058622282,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-172.5501999763032,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-282.25012559063197,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 5}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,0,-43.32086135362752,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-35.76655265132995,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",25,5,-133.53046322456652,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-151.4872392658802,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-141.33581376536563,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
