trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.8255541913646,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.13851452010013,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.33314961474957,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.79615606596286,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.70864430669187,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-220.9843483768476,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-42.407181303116246,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.08620669628283,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.92734561947951,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-181.6677307453536,"{0: 21, 1: 6, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.15289244843308,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.92312358083984,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-195.99731245654834,"{0: 20, 1: 2, 2: 9, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.75348974620195,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.74210049912904,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.05186503453704,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.330272691760243,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.95964309572605,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.08781523722456,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.9531196350797,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.90119997872213,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.49521418674792,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-67.91589768826267,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,4,-53.2542072184025,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,8,-23.103038418335913,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.62544695395118,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-111.33328165026899,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.48807647503592,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.44344621007546,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.33579488775878,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
